Date,Ticker,Investment_Value_Numeric
2025-01-27,HINDUNILVR.NS,106557.0
2025-01-28,HINDUNILVR.NS,106379.0
2025-01-29,HINDUNILVR.NS,106161.0
2025-01-30,HINDUNILVR.NS,107265.0
2025-01-31,HINDUNILVR.NS,109939.0
2025-02-01,HINDUNILVR.NS,111598.0
2025-02-03,HINDUNILVR.NS,108744.0
2025-02-04,HINDUNILVR.NS,108570.0
2025-02-05,HINDUNILVR.NS,106477.0
2025-02-06,HINDUNILVR.NS,105660.0
2025-02-07,HINDUNILVR.NS,105266.0
2025-02-10,HINDUNILVR.NS,105159.0
2025-02-11,HINDUNILVR.NS,103102.0
2025-02-12,HINDUNILVR.NS,103870.0
2025-02-13,HINDUNILVR.NS,103380.0
2025-02-14,HINDUNILVR.NS,103240.0
2025-02-17,HINDUNILVR.NS,103732.0
2025-02-18,HINDUNILVR.NS,102244.0
2025-02-19,HINDUNILVR.NS,100214.0
2025-02-20,HINDUNILVR.NS,100109.0
2025-02-21,HINDUNILVR.NS,99824.0
2025-02-24,HINDUNILVR.NS,99815.0
2025-02-25,HINDUNILVR.NS,100610.0
2025-02-27,HINDUNILVR.NS,99971.0
2025-02-28,HINDUNILVR.NS,97535.0
2025-03-03,HINDUNILVR.NS,96938.0
2025-03-04,HINDUNILVR.NS,96070.0
2025-03-05,HINDUNILVR.NS,96653.0
2025-03-06,HINDUNILVR.NS,98813.0
2025-03-07,HINDUNILVR.NS,98172.0
2025-03-10,HINDUNILVR.NS,100096.0
2025-03-11,HINDUNILVR.NS,98724.0
2025-03-12,HINDUNILVR.NS,97653.0
